symbol1,symbol2
TRIB2,UBE2E1
TRIB2,CEBPB
TRIB2,TRIB1
TRIB2,CUL1
TRIB2,SMURF1
TRIB2,COP1
TRIB2,STK40
TRIB2,CEBPA
TRIB2,DET1
OTUD5,UBB
OTUD5,UBA52
OTUD5,UBC
GPKOW,WDR77
GPKOW,BUD13
GPKOW,DHX38
GPKOW,PPP1CA
GPKOW,SRRM1
GPKOW,RBM10
GPKOW,SREK1
GPKOW,SRSF11
GPKOW,PRPF4
GPKOW,DHX16
GPKOW,WDR83
GPKOW,TCEA1
GPKOW,PRPF8
AQR,HEATR6
AQR,RBM22
AQR,SNRPD3
AQR,PQBP1
AQR,USB1
AQR,SF3A2
AQR,PRPF19
AQR,WDR77
AQR,SYF2
AQR,SNRPA
AQR,SNRPB2
AQR,SNRPA1
AQR,SNW1
AQR,DHX8
AQR,YJU2
AQR,SNRNP40
AQR,CASC3
AQR,SNRPF
AQR,SNRPG
AQR,ISY1
AQR,SLC2A13
AQR,CWF19L2
AQR,TCERG1
AQR,SLU7
AQR,SNRPD1
AQR,SRRM2
AQR,DVL3
AQR,SNRNP200
AQR,MAGOHB
AQR,LSM10
AQR,TSSC4
AQR,NAA38
AQR,WDR25
AQR,HNRNPA1
AQR,SNRPD2
AQR,XAB2
AQR,ZNF830
AQR,TCERG1L
AQR,CDC40
AQR,ASCC3
AQR,BCAS2
AQR,HFM1
AQR,CDC5L
AQR,LRMDA
AQR,PPIE
AQR,PPIL1
AQR,CRNKL1
AQR,SNRPN
AQR,BUD31
AQR,RBM4
AQR,CWC22
AQR,EFTUD2
AQR,SNRPE
AQR,WDR83
AQR,ISY1-RAB43
AQR,SNRPB
AQR,PRKRIP1
AQR,PLRG1
AQR,NWD1
AQR,PRPF40B
AQR,PRPF8
AQR,RBM8A
AQR,CWC15
PSMC4,PSMA4
PSMC4,PSMD5
PSMC4,PSMD8
PSMC4,PSMA3
PSMC4,PSME2
PSMC4,PSMD10
PSMC4,PSMD7
PSMC4,PSMA2
PSMC4,CCDC92
PSMC4,TRAP1
PSMC4,TUBA4A
PSMC4,OASL
PSMC4,PSMB7
PSMC4,PSMC1
PSMC4,SNCAIP
PSMC4,PSMA6
PSMC4,USP14
PSMC4,PSMD11
PSMC4,PSMB1
PSMC4,PSMD3
PSMC4,PIP5K1B
PSMC4,PSMB6
PSMC4,PSMA5
PSMC4,ZFAND2B
PSMC4,PSMB4
PSMC4,ELP6
PSMC4,UBLCP1
PSMC4,COPS2
PSMC4,UBB
PSMC4,CCDC74B
PSMC4,PSMD1
PSMC4,PSMD2
PSMC4,PSMC5
PSMC4,PSMA8
PSMC4,PAAF1
PSMC4,ATG4C
PSMC4,UBL4B
PSMC4,ZFAND4
PSMC4,PSMD12
PSMC4,RAD23B
PSMC4,PSMB10
PSMC4,LONP1
PSMC4,PSMB5
PSMC4,UCHL5
PSMC4,NR1I3
PSMC4,PSMD4
PSMC4,PIP5K1A
PSMC4,BRCC3
PSMC4,UBL4A
PSMC4,ACTR1A
PSMC4,PSMA7
PSMC4,CDC5L
PSMC4,PSMB2
PSMC4,ELP1
